,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0.0,0.0,06/11/19 12:51:31,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS A,44.306276_8.481562,pompe funebri,False,False,False,to be implemented
1,,0.0,1.0,06/11/19 12:51:31,Onoranze Funebri Savona | Socrem Apeiron | socremapeiron.it‎,ADS A,44.306276_8.481562,pompe funebri,True,True,True,to be implemented
2,,0.0,0.0,06/11/19 12:51:31,Pompe Funebri | La Savonese‎,ADS B,44.306276_8.481562,pompe funebri,No ADS,No ADS,No ADS,to be implemented
3,,0.0,0.0,06/11/19 12:53:51,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,pompe funebri,No ADS,False,No ADS,to be implemented
4,,0.0,1.0,06/11/19 12:53:51,Pompe Funebri | La Savonese‎,ADS B,44.306276_8.481562,pompe funebri,No ADS,True,No ADS,to be implemented
5,,,,01/12/19 16:06:35,Not Available,NO ADS BOXES,S_a,pompe funebri,,,,to be implemented
6,,,,01/12/19 16:10:37,Not Available,NO ADS BOXES,S_a,pompe funebri,,,,to be implemented
7,,,,01/12/19 16:14:40,Not Available,NO ADS BOXES,S_a,pompe funebri,,,,to be implemented
8,,0.0,0,01/12/19 16:18:41,"<span class=""pcbdac"">Onoranze funebri valbormida | Reperibilità 24 ore su 24‎</span>",ADS B,44.306276_8.481562,pompe funebri,,,,to be implemented
