,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,,,08/06/19 20:00:22,Not Available,NO ADS BOXES,D_e,Socrem,,,,to be implemented
1,,,,08/06/19 20:04:23,Not Available,NO ADS BOXES,D_e,Socrem,,,,to be implemented
2,,,,08/06/19 20:08:26,Not Available,NO ADS BOXES,D_e,Socrem,,,,to be implemented
3,,0.0,0.0,08/06/19 20:12:30,Socrem Savona | Cerca Socrem Savona‎,ADS B,44.307208_8.482031,Socrem,No ADS,No ADS,No ADS,to be implemented
4,,0.0,0,08/06/19 20:27:04,Socrem Savona | Cerca Socrem Savona | iZito.it‎,ADS A,44.307208_8.482031,Socrem,No ADS,No ADS,No ADS,to be implemented
5,,0.0,1,08/06/19 20:27:04,Socrem Savona | Cerca Socrem Savona | ZapMeta.it‎,ADS A,44.307208_8.482031,Socrem,No ADS,No ADS,No ADS,to be implemented
6,,,,08/06/19 20:29:17,Not Available,NO ADS BOXES,D_e,Socrem,,,,to be implemented
7,,,,08/06/19 20:33:20,Not Available,NO ADS BOXES,D_e,Socrem,,,,to be implemented
8,,,,08/06/19 20:37:23,Not Available,NO ADS BOXES,D_e,Socrem,,,,to be implemented
